Please select your gender.,Please enter your current age.,How long is the Korean language learning period?,Where did you learn Korean? (Multiple choices possible),"If you selected 'Self-study', how did you learn Korean? (Multiple selections possible)",Have you ever taken the TOPIK exam?,How many times did you take the exam in total?,What is the most recent TOPIK you took?,What is the most recent TOPIK grade you took?,What is your purpose for taking the exam? (Multiple choices possible),Have you ever seen past TOPIK exam questions?,How did you study the past exam questions?,exam_time_sufficiency,question_count_rating,"	question_diversity_rating",instruction_clarity_score,listening_appropriateness_score,reading_appropriateness_score,writing_appropriateness_score,speaking_assessment_score,Please feel free to write down any suggestions you have regarding the exam.,
female,23,6 months to 1 year,"Self-study, Korean Education Center",Korean language learning application,does not exist,,,,,there is,"Korean language learning books, Korean language learning apps, online content",3,3,4,4,4,4,4,4,"",
female,25,more than 2 years,"Self-study, Korean Education Center, Sejong Institute",Korean language learning book,there is,2,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,1,3,4,3,4,3,3,1,"",
female,23,6 months to 1 year,Korean Education Center,Korean language learning book,does not exist,,,,,does not exist,,,,,,,,,,"",
female,24,Less than 6 months,Korean Education Center,"Korean language learning books, Korean online content, Korean language learning applications",does not exist,,,,,does not exist,,,,,,,,,,"",
female,25,6 months to 1 year,Korean Education Center,"Korean language learning books, Korean online content",does not exist,,,,,there is,Online content,3,3,3,4,3,3,3,3,"",
female,39,1 year to less than 1 year and 6 months,love of learning,Help from a Korean friend,there is,2,TOPIK PBT,TOPIK II,Study in Korea,,,1,5,5,2,3,2,2,3,"",
female,27,1 year 6 months to less than 2 years,Korean Education Center,Help from a Korean friend,does not exist,,,,,there is,Online content,3,3,3,4,3,3,3,3,"",
female,25,Less than 6 months,Korean Education Center,,there is,1,TOPIK IBT,TOPIK I,Check your Korean skills,,,2,3,4,4,4,3,4,4,"",
female,24,1 year 6 months to less than 2 years,"Self-study, Korean Education Center, Sejong Institute","Korean language learning books, Korean online content, Korean language learning applications",there is,6,TOPIK PBT,TOPIK II,Study in Korea,,,2,3,4,4,4,4,3,4,"",
female,26,more than 2 years,love of learning,Korean language learning book,there is,3,TOPIK PBT,TOPIK II,Employment,,,5,5,3,1,1,1,1,1,"",
female,27,more than 2 years,"Self-study, Korean Education Center, KLECH, GREEN ACADEMY, THE KOREAN SCHOOL","Korean language learning books, Korean online content, Korean language learning applications",there is,1,TOPIK PBT,TOPIK II,"Studying in Korea, Checking Korean Language Skills",,,3,3,4,3,4,4,4,1,"IIG'S Supervisors are not good",
female,25,1 year to less than 1 year and 6 months,"Self-study, Korean Education Center, Sejong Institute","Korean language learning books, Korean online content",there is,Number 2,TOPIK PBT,TOPIK I,Check your Korean skills,,,3,3,3,5,4,5,3,3,"",
female,26,1 year to less than 1 year and 6 months,Korean Education Center,Korean language learning book,there is,2,TOPIK PBT,TOPIK I,Check your Korean skills,,,3,3,4,4,4,4,4,4,"",
male,28,1 year 6 months to less than 2 years,"Self-study, Korean Education Center","Korean language learning books, Korean online content",does not exist,,,,,there is,"Korean language learning books, Korean language learning apps, online content",3,3,3,3,3,3,3,3,"",
male,30,6 months to 1 year,Korean Education Center,,does not exist,,,,,there is,Online content,2,3,4,5,5,5,5,3,"",
female,23,1 year to less than 1 year and 6 months,"Self-study, Korean Education Center, Sejong Institute",Korean language learning book,does not exist,,,,,there is,Korean language learning book,4,4,3,4,3,3,1,2,"",
female,27,1 year 6 months to less than 2 years,Sejong Institute,,there is,2,TOPIK PBT,TOPIK II,Check your Korean skills,,,2,4,5,4,5,5,5,4,"",
